"","Gene","log2FoldChange","pvalue"
"29","ENSDARG00000000476",2.52670573096426,0.0252482413462472
"67","ENSDARG00000001127",4.86707736847146,3.79920244124291e-05
"107","ENSDARG00000001760",3.31293337986496,0.0238336661292888
"110","ENSDARG00000001776",5.2353963485318,0.00533217745741004
"120","ENSDARG00000001817",4.87053580902219,0.000520277882475994
"126","ENSDARG00000001859",6.04284212640346,0.0020408250194578
"141","ENSDARG00000001912",6.51060410825318,0.0379423268800613
"165","ENSDARG00000002026",3.41851150009442,0.0191221112679947
"188","ENSDARG00000002196",2.47423262377152,0.0156799944364584
"205","ENSDARG00000002264",3.49372454859709,0.0371543434674434
"208","ENSDARG00000002285",2.389610706552,0.0382509670107096
"216","ENSDARG00000002311",10.1804932949494,5.5403656485461e-07
"230","ENSDARG00000002391",7.36480498053091,0.000547638434404241
"254","ENSDARG00000002510",5.1589611592749,0.00879680847097124
"274","ENSDARG00000002607",3.14424216232694,0.00838388904212979
"277","ENSDARG00000002614",2.88738233880052,0.0377412987729148
"284","ENSDARG00000002659",2.19397893208503,0.0170523916185413
"301","ENSDARG00000002754",3.93497366980095,0.0441513292688749
"316","ENSDARG00000002816",4.70278354786551,7.46286649169904e-06
"357","ENSDARG00000003046",2.90210585865059,0.00431103424201446
"363","ENSDARG00000003068",3.90432182854258,0.0204703988806195
"387","ENSDARG00000003175",3.71668761900717,0.00201948225057865
"409","ENSDARG00000003257",2.61987939609589,0.0159621802772439
"411","ENSDARG00000003263",4.63213295318622,0.0082579461297229
"449","ENSDARG00000003462",2.62553246605638,0.0256395660628445
"512","ENSDARG00000003818",2.3959728001284,0.0191191491363089
"518","ENSDARG00000003836",3.58195096632991,0.00123926426320644
"553","ENSDARG00000003977",8.48297972030843,0.000733042408711441
"556","ENSDARG00000003991",5.70254094616976,0.000471792822312173
"585","ENSDARG00000004151",2.07035134345555,0.044364862111715
"600","ENSDARG00000004196",2.65862751279291,0.00847090000274179
"638","ENSDARG00000004358",3.09871759499777,0.0222049961627456
"654","ENSDARG00000004447",3.3075297989339,0.0476279863885999
"668","ENSDARG00000004525",2.58903377928135,0.013751055687908
"685","ENSDARG00000004597",2.702307380793,0.0360884313197418
"706","ENSDARG00000004697",4.08376122450281,0.0131426218134087
"712","ENSDARG00000004721",6.95218986130124,0.00190223102144367
"717","ENSDARG00000004729",2.68901659976636,0.0136156486281586
"731","ENSDARG00000004794",3.01404173092447,0.020292322369118
"771","ENSDARG00000004979",4.14651277415774,0.00380123106212977
"779","ENSDARG00000005026",3.14467659998552,0.00458614828846932
"803","ENSDARG00000005150",2.78153698659569,0.0347231407340036
"822","ENSDARG00000005232",2.89438878493964,0.00315562503597203
"850","ENSDARG00000005394",2.49212354104705,0.0427068545726885
"889","ENSDARG00000005561",2.93815473563447,0.0087446799199603
"914","ENSDARG00000005652",4.20568105671862,0.00050045959417377
"939","ENSDARG00000005799",7.29018407270138,0.000110747287925642
"946","ENSDARG00000005834",3.16417770296468,0.000392342758141169
"973","ENSDARG00000005945",5.09774109658096,0.0108330447833998
"998","ENSDARG00000006060",4.71455460295032,0.0316392285860322
